station_name,station_full_name,station_zone,station_address
GID,GIDDALUR,SCR,"Prakasam, Andhra Pradesh, India"
GIF,GANI DHAM H,ER,"Tadiha, Bihar 812005, India"
GIG,GOHARI GRAM HALT,ECR,"Gohri, Bihar 811310, India"
GIHT,GAIGHAT HALT,NER,"Gayaghat, Uttar Pradesh 271865, India"
GII,GIDHNI,SER,"Gidhni, West Bengal, India"
GIL,GAISAL,NFR,"Purnea - Siliguri Road, Gaisal, West B.."
GILA,GHIALA,NR,"India, Quilicura, Santiago Metropolita.."
GILL,GILL,NR,"Punjab 141122, India"
GIMB,GANDHIDHAM BG,WR,"Gandhidham Railway Station, Railway St.."
GIN,GINIGERA,SWR,"Ginigera, Karnataka, India"
GIO,GORIYAN,NWR,Gorian
GIR,GAINSARI JN,NER,"Uttar Pradesh, India"
